i,t,m,Females 00-03,Females 04-08,Females 09-13,Females 14-18,Females 19-30,Females 31-50,Females 51-99,Males 00-03,Males 04-08,Males 09-13,Males 14-18,Males 19-30,Males 31-50,Males 51-99,log HSize
1010101601002,2011-12,Tigray,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1.945910149
1010101601002,2013-14,Tigray,1,1,1,0,0,1,1,0,1,0,1,0,1,0,2.079441542
1010101601002,2015-16,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1010101601017,2011-12,Tigray,0,1,1,0,0,1,0,0,0,2,0,0,1,0,1.791759469
1010101601017,2013-14,Tigray,1,1,1,0,1,0,0,0,1,1,1,0,1,0,2.079441542
1010101601017,2015-16,Tigray,1,1,2,0,0,1,0,0,1,0,2,0,1,0,2.197224577
1010101601034,2011-12,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1010101601034,2013-14,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1010101601034,2015-16,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1010101601049,2011-12,Tigray,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1.386294361
1010101601049,2013-14,Tigray,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.098612289
1010101601049,2015-16,Tigray,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1.098612289
1010101601064,2011-12,Tigray,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1.386294361
1010101601064,2013-14,Tigray,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1.386294361
1010101601064,2015-16,Tigray,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6931471806
1010101601080,2011-12,Tigray,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1.386294361
1010101601080,2013-14,Tigray,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1.386294361
1010101601080,2015-16,Tigray,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1.386294361
1010101601087,2011-12,Tigray,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1.386294361
1010101601087,2013-14,Tigray,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1.609437912
1010101601087,2015-16,Tigray,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1.609437912
1010101601101,2011-12,Tigray,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.098612289
1010101601101,2013-14,Tigray,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1.609437912
1010101601101,2015-16,Tigray,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1.609437912
1010101601116,2011-12,Tigray,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1.386294361
1010101601116,2013-14,Tigray,0,0,0,0,0,1,0,0,2,1,1,0,0,1,1.791759469
1010101601116,2015-16,Tigray,1,1,0,0,0,1,0,0,1,2,2,0,0,0,2.197224577
1010101601131,2011-12,Tigray,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010101601131,2013-14,Tigray,0,0,1,1,1,1,0,0,0,1,1,1,1,0,2.079441542
1010101601131,2015-16,Tigray,0,0,0,2,1,1,0,0,0,1,0,2,0,0,1.945910149
1010101601146,2011-12,Tigray,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.6931471806
1010101601146,2013-14,Tigray,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1.609437912
1010101601146,2015-16,Tigray,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1.609437912
1010101601162,2011-12,Tigray,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6931471806
010101088800910007,2018-19,Tigray,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1.945910149
010101088800910017,2018-19,Tigray,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1.609437912
010101088800910026,2018-19,Tigray,1,0,2,1,0,1,0,1,1,0,0,0,1,0,2.079441542
010101088800910029,2018-19,Tigray,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.6931471806
010101088800910038,2018-19,Tigray,1,1,0,1,4,2,0,0,0,0,0,1,0,0,2.397895273
010101088800910046,2018-19,Tigray,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1.609437912
010101088800910054,2018-19,Tigray,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1.098612289
010101088800910062,2018-19,Tigray,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1.791759469
