i,t,m,index,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
7001700171001,2007,Sumadija,0,3,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1.609437912
7001700171002,2007,Sumadija,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
7001700171004,2007,Sumadija,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.386294361
7001700171005,2007,Sumadija,3,1,1,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1.386294361
7001700171007,2007,Sumadija,4,1,1,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361
7001700171008,2007,Sumadija,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289
7001700171010,2007,Sumadija,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7001700171011,2007,Sumadija,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.098612289
7001700171012,2007,Sumadija,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7001700171013,2007,Sumadija,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001700171014,2007,Sumadija,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001700371001,2007,Sumadija,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.098612289
7001700371002,2007,Sumadija,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7001700371003,2007,Sumadija,13,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
7001700371004,2007,Sumadija,14,2,0,2,2,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1.791759469
7001700371005,2007,Sumadija,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7001700371006,2007,Sumadija,16,2,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1.609437912
7001700371007,2007,Sumadija,17,2,1,0,3,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1.791759469
7001700371008,2007,Sumadija,18,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.098612289
7001700371009,2007,Sumadija,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7001700371010,2007,Sumadija,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001700371011,2007,Sumadija,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7001700371012,2007,Sumadija,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001700371013,2007,Sumadija,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001700371014,2007,Sumadija,24,4,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1.609437912
7001701561001,2007,Sumadija,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001701561002,2007,Sumadija,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7001701561003,2007,Sumadija,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001701561004,2007,Sumadija,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001701561005,2007,Sumadija,29,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.386294361
7001701561006,2007,Sumadija,30,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289
7001701561008,2007,Sumadija,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001701561009,2007,Sumadija,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7001701561010,2007,Sumadija,33,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1.609437912
7001701561011,2007,Sumadija,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001701561012,2007,Sumadija,35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7001701561013,2007,Sumadija,36,2,1,1,3,1,0,0,1,0,0,0,0,0,1,2,0,1,1,1.945910149
7001701561014,2007,Sumadija,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7002500231002,2007,South-east serbia,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7002500231003,2007,South-east serbia,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7002500231004,2007,South-east serbia,40,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1.098612289
7002500231006,2007,South-east serbia,41,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1.609437912
7002500231008,2007,South-east serbia,42,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.386294361
7002500231009,2007,South-east serbia,43,2,2,0,2,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1.791759469
7002500231010,2007,South-east serbia,44,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.386294361
7002500231011,2007,South-east serbia,45,2,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1.609437912
7002500231012,2007,South-east serbia,46,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1.386294361
7002500231013,2007,South-east serbia,47,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
7002500231014,2007,South-east serbia,48,2,2,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1.609437912
7002500991001,2007,South-east serbia,49,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289
7002500991002,2007,South-east serbia,50,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
7002500991003,2007,South-east serbia,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7002500991004,2007,South-east serbia,52,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.386294361
7002500991005,2007,South-east serbia,53,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1.609437912
7002500991006,2007,South-east serbia,54,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1.609437912
7002500991007,2007,South-east serbia,55,2,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,1,2,1.791759469
7002500991008,2007,South-east serbia,56,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
7002500991009,2007,South-east serbia,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7002500991010,2007,South-east serbia,58,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1.609437912
7002500991011,2007,South-east serbia,59,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1.386294361
7002500991012,2007,South-east serbia,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7002500991013,2007,South-east serbia,61,3,1,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,1,1.791759469
7002500991014,2007,South-east serbia,62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
7002501801001,2007,South-east serbia,63,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289
7002501801002,2007,South-east serbia,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7002501801003,2007,South-east serbia,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7002501801004,2007,South-east serbia,66,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.098612289
7002501801005,2007,South-east serbia,67,2,2,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1.791759469
7002501801006,2007,South-east serbia,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7002501801007,2007,South-east serbia,69,3,4,1,2,0,0,0,2,0,2,1,0,0,0,2,2,0,1,2.302585093
7002501801008,2007,South-east serbia,70,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1.609437912
